"genre","year","budget","gross","number","score","runtime"
"Animation",1991,17666666.6666667,146243361,3,6.96666666666667,81
"Animation",1992,22500000,138608042.75,4,6.2,88
"Animation",1993,15500000,26094444.75,4,7.35,78.25
"Animation",1994,36250000,279634181,4,6.875,86
"Animation",1995,32750000,194962217,4,6.875,78.5
"Animation",1996,57500000,161955426.5,4,6.75,84.75
"Animation",1997,55666666.6666667,132027695.333333,3,7.13333333333333,87.3333333333333
"Animation",1998,68428571.4285714,197857185.571429,7,6.7,89.4285714285714
"Animation",1999,63714285.7142857,184100250.142857,7,6.95714285714286,86.8571428571429
"Animation",2000,64833333.3333333,123192813.222222,9,6.36666666666667,84
"Animation",2001,66400000,186735921.9,10,6.88,96.8
"Animation",2002,69750000,157326605.5,8,6.425,82.625
"Animation",2003,59500000,228052768.428571,7,6.58571428571429,84.8571428571429
"Animation",2004,77341111.1111111,330914959.333333,9,6.54444444444444,92.6666666666667
"Animation",2005,62142857.1428571,228999450.714286,7,6.5,82.2857142857143
"Animation",2006,73980000,199635479.333333,15,6.21333333333333,91.4
"Animation",2007,103630000,326869402.6,10,6.66,96.8
"Animation",2008,82400000,276765128.3,10,6.99,93
"Animation",2009,95928571.4285714,281530629.285714,14,6.75,90.6428571428571
"Animation",2010,118700000,434110456.7,10,7.04,97.5
"Animation",2011,90600000,306475427.866667,15,6.18666666666667,93.8
"Animation",2012,92166666.6666667,342698825.916667,12,6.80833333333333,91.5833333333333
"Animation",2013,105900000,513169966.3,10,6.74,101.7
"Animation",2014,100555555.555556,380509966.666667,9,7.06666666666667,95.7777777777778
"Animation",2015,101620000,412079027.6,10,6.76,93.2
"Animation",2016,87382352.9411765,379286226.411765,17,6.66470588235294,95
"Animation",2017,79423076.9230769,334958005.538462,13,6.26153846153846,97.2307692307692
"Animation",2018,84350000,401981815.2,10,6.83,99.9
"Animation",2019,102161538.461538,480470208,13,6.63846153846154,98.0769230769231
"Biography",1980,1.4e+07,19598808,2,7.6,114.5
"Biography",1981,14166666.6666667,39572759.6666667,3,7.06666666666667,149.666666666667
"Biography",1982,15750000,33383944.5,2,7.85,156.5
"Biography",1983,1e+07,15029533,3,6.86666666666667,113.333333333333
"Biography",1984,16200000,43383541,2,8.05,150.5
"Biography",1985,1.4e+07,73361112.5,4,7.3,133
"Biography",1986,6652750,5443110.5,4,6.875,107
"Biography",1987,16166666.6666667,61345861,3,7.2,128.666666666667
"Biography",1988,17250000,22473050,4,7,130
"Biography",1989,17800000,42518985,5,6.62,124.2
"Biography",1990,2.8e+07,49529876,2,8.25,133.5
"Biography",1991,3.4e+07,41765454.5,2,7,138
"Biography",1992,24833333.3333333,18786046.6666667,6,7.25,138.833333333333
"Biography",1993,17875000,64808136.375,8,7.4625,127.375
"Biography",1994,19556824,13237840.4285714,7,7.21428571428571,115.285714285714
"Biography",1995,2.6e+07,59377081.1428571,7,6.85714285714286,134
"Biography",1996,20300000,30555821.1428571,7,6.98571428571429,120.857142857143
"Biography",1997,21125000,31766378.25,8,6.875,121
"Biography",1998,32600000,59245173.2,5,7.2,114.4
"Biography",1999,43625000,36966103.625,8,7.5875,128.875
"Biography",2000,26700000,100874044.8,5,7.34,123.8
"Biography",2001,54300000,107956708.6,5,7.22,127.8
"Biography",2002,18743750,73473053.625,8,7.0375,119
"Biography",2003,23285714.2857143,28224548.4285714,7,6.74285714285714,122.285714285714
"Biography",2004,32062500,72475321.25,8,7.45,126.25
"Biography",2005,30600000,61901705.5,10,7.22,122.9
"Biography",2006,23907692.3076923,46381122.3846154,13,6.92307692307692,113.769230769231
"Biography",2007,39722222.2222222,76540587.5555556,9,7.3,130.777777777778
"Biography",2008,30566666.6666667,41692154.4444444,9,7.08888888888889,124.222222222222
"Biography",2009,35041666.6666667,84920737.5833333,12,6.975,116.5
"Biography",2010,26250000,114887954.3,10,7.01,114.2
"Biography",2011,19262500,47072157.125,8,6.8875,115.625
"Biography",2012,28028571.4285714,83221417.7142857,7,7.05714285714286,113.142857142857
"Biography",2013,23984615.3846154,95004947.3846154,13,7.14615384615385,118.307692307692
"Biography",2014,19916666.6666667,62642397.8333333,12,7.125,120.583333333333
"Biography",2015,23947368.4210526,58616277.8421053,19,7.07894736842105,120
"Biography",2016,24450000,61918651.75,20,7.105,118.9
"Biography",2017,26226666.6666667,67315332.8,15,6.96666666666667,120.733333333333
"Biography",2018,23125000,99259768.5,20,6.825,116
"Biography",2019,32555555.5555556,44153445.4444444,9,6.83333333333333,124.111111111111
"Comedy",1980,6500000,33810514.5,10,6.58,99.8
"Comedy",1981,9488235.29411765,32406129.5294118,17,6.02352941176471,96.8235294117647
"Comedy",1982,14271739.1304348,25361904.3043478,23,6.16086956521739,110.565217391304
